black.arsyslan.es|status black,arsyslan,es.na_vol_space green Thu May  9 11:33:47 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green hc17                      online      aggr2       none         86          0       2347       2025        321        N/A          0          0             N/A\n&green hc18                      online      aggr3       none         83          0       2247       1853        393        N/A          0          0             N/A\n&green llce323                   online      aggr1       none         69          0        100         69         30        N/A          0          0             N/A\n&green llce322d01                online      aggr2       none         62          0        845        527        317        N/A          0          0             N/A\n&green llce324                   online      aggr2       none          7          0         11          0         10        N/A          0          0             N/A\n&green flcf321b                  online      aggr2       none         83          0       2000       1651        348        N/A          0          0             N/A\n&green llce315d                  online      aggr3       none         68          0       1024        691        332        N/A          0          0             N/A\n&green llce982                   online      aggr3       none         72          0        800        577        222        N/A          0          0             N/A\n&green llce436d01                online      aggr3       none         59          0       1600        936        663        N/A          0          0             N/A\n&green llce439                   online      aggr3       none         80          0        800        638        161        N/A          0          0             N/A\n&green llcf101b                  online      aggr3       none         63          0        560        354        205        N/A          0          0             N/A\n&green llce314                   online      aggr3       none         82          0        700        575        124        N/A          0          0             N/A\n&green vol0                      online      aggr0     volume          4          0        128          5        122        N/A          0          0             N/A\n&green llce316                   online      aggr1       none         71          0       1267        904        362        N/A          0          0             N/A\n&green llce274d02                online      aggr1       none         86          0       4000       2204        547        N/A          0          0             N/A\n&green llce323d02                online      aggr1       none         68          0        600        405        194        N/A          0          0             N/A\n&green llce439c                  online      aggr1       none         77          0       1546       1188        357        N/A          0          0             N/A\n&green flcf321c                  online      aggr1       none         68          0        522        354        167        N/A          0          0             N/A\n&green llcf102b                  online      aggr2       none          2          0         10          0          9        N/A          0          0             N/A\n&green llcf102d01                online      aggr1       none         19          0        600        111        488        N/A          0          0             N/A\n&green llce439b                  online      aggr2       none         75          0        600        449        150        N/A          0          0             N/A\n&green llce404d01                online      aggr1       none         44          0        700        309        390        N/A          0          0             N/A\n&green llce323b                  online      aggr2       none         70          0        800        561        238        N/A          0          0             N/A\n&green llcf102d02                online      aggr1       none         64          0        522        332        189        N/A          0          0             N/A\n&green llce315d01                online      aggr1       none         62          0        640        399        240        N/A          0          0             N/A\n&green plcf322                   online      aggr2       none         82          0        700        574        125        N/A          0          0             N/A\n&green llce322md                 online      aggr2       none         30          0        138         41         96        N/A          0          0             N/A\n&green llce315                   online      aggr0       none         77          0        669        517        151        N/A          0          0             N/A\n&green llce323d01                online      aggr0       none         59          0       2537       1504       1032        N/A          0          0             N/A\n&green llcf101                   online      aggr0       none         70          0        908        639        268        N/A          0          0             N/A\n&green llcf111                   online      aggr0       none         74          0        400        297        102        N/A          0          0             N/A\n&green llce404                   online      aggr0       none         47          0        522        243        278        N/A          0          0             N/A\n&green flcf321                   online      aggr0       none         79          0       1600       1267        332        N/A          0          0             N/A\n&green llcf102                   online      aggr0       none         61          0        700        424        275        N/A          0          0             N/A
blue.arsyslan.es|status blue,arsyslan,es.na_vol_space green Thu May  9 11:34:15 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green llce434                   online      aggr1       none         85          0       1365       1154        210        N/A          0          0             N/A\n&green llce982                   online      aggr1       none         77          0        780        597        182        N/A          0          0             N/A\n&green vol0                      online      aggr0     volume          4          0        128          5        122        N/A          0          0             N/A\n&green hc22                      online      aggr1       none         90          0       2047       1840        206        N/A          0          0             N/A\n&green anayet                    online      aggr1       none         85          0       2400       2051        348        N/A          0          0             N/A\n&green llce436d03                online      aggr2       none         63          0        490        309        180        N/A          0          0             N/A\n&green llce933                   online      aggr0       none         10          0         11          1          9        N/A          0          0             N/A\n&green llce439b                  online      aggr0       none          0          0        786          0        785        N/A          0          0             N/A\n&green llce437                   online      aggr0       none          2          0         40          0         39        N/A          0          0             N/A\n&green llce436d01                online      aggr0       none         63          0        422        266        155        N/A          0          0             N/A\n&green flcf321                   online      aggr0       none         83          0       1299       1081        217        N/A          0          0             N/A\n&green llce982c                  online      aggr0       none         73          0        700        510        189        N/A          0          0             N/A\n&green llce404                   online      aggr0       none         74          0       2345       1745        599        N/A          0          0             N/A\n&green llce486d01                online      aggr0       none         69          0       1400        962        437        N/A          0          0             N/A\n&green llcf102d01                online      aggr0       none         64          0       2335       1486        848        N/A          0          0             N/A\n&green llcf102b                  online      aggr0       none         60          0        800        479        320        N/A          0          0             N/A\n&green llce439                   online      aggr2       none         86          0       1510       1297        212        N/A          0          0             N/A\n&green llce436d02                online      aggr1       none         70          0        736        512        223        N/A          0          0             N/A\n&green llce439c                  online      aggr1       none         69          0       1024        704        319        N/A          0          0             N/A\n&green slcf764                   online      aggr1       none         64          0        500        320        179        N/A          0          0             N/A\n&green llce486d02                online      aggr1       none         55          0        500        276        223        N/A          0          0             N/A\n&green llcf112                   online      aggr2       none          5          0         10          0          9        N/A          0          0             N/A\n&green llcf102                   online      aggr2       none         56          0       1024        574        449        N/A          0          0             N/A\n&green llce982b                  online      aggr2       none         84          0       1800       1507        292        N/A          0          0             N/A\n&green llce434b                  online      aggr2       none         76          0       1350       1019        330        N/A          0          0             N/A\n&green llce933b                  online      aggr2       none         83          0       1700       1406        293        N/A          0          0             N/A\n&green flcf321b                  online      aggr2       none         80          0       1200        959        240        N/A          0          0             N/A\n&green llce316                   online      aggr2       none         66          0        800        528        271        N/A          0          0             N/A
brown.arsyslan.es|status brown,arsyslan,es.na_vol_space green Thu May  9 11:33:07 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green vol0                      online      aggr0     volume          1          0        314          2        312        N/A          0          0             N/A\n&green csg_nfs_sata_001          online aggr1_sata       none          0          0       2048          0       2047        N/A          0          0             N/A\n&green csg_cifs_sata_001         online aggr1_sata       none          0          0       2048          0       2047        N/A          0          0             N/A
cdc-cabina.arsysdesarrollo.lan|status cdc-cabina,arsysdesarrollo,lan.na_vol_space green Thu May  9 11:32:22 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green voliso                    online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green vol0                      online aggr0_sata     volume          5          0         16          0         15        N/A          0          0             N/A\n&green glbvolcb                  online aggr0_sata       none         45          0       1024        462        561        N/A          0          0             N/A\n&green volnfspre001              online aggr0_sata       none         20          0       1024          0        821    enabled         54          1       sun-sat@0\n&green volnfsstd002              online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green volstd001                 online aggr0_sata       none         36          0       1024        363        660    enabled         69        809       sun-sat@0\n&green volcifsstd001             online aggr0_sata       none         20          0       1024          0        821    enabled          0          0       sun-sat@0\n&green glbvolcifspre001          online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green volcifsstd002             online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green glbvolnfspre001           online aggr0_sata       none         20          0       1024          2        821        N/A          0          0             N/A\n&green volcb                     online aggr0_sata       none         75          0       1024        766        257        N/A          0          0             N/A\n&green volnfsstd001              online aggr0_sata       none         20          0       1024         31        821    enabled         38         19       sun-sat@0\n&green volcifspre001             online aggr0_sata       none         20          0       1024          0        821    enabled          3          0       sun-sat@0\n&green volinterno                online aggr0_sata       none         71          0       1024        722        301        N/A          0          0             N/A\n&green volnfspre002              online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green volcifspre002             online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green glbvolcifsstd001          online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green volpre002                 online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A\n&green glbvolnfsstd001           online aggr0_sata       none         20          0       1024          0        821        N/A          0          0             N/A
cheer.arsyslan.es|status cheer,arsyslan,es.na_vol_space green Thu May  9 11:34:41 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green vol0                      online      aggr0     volume          4          0        128          5        122        N/A          0          0             N/A\n&green llce322d02                online      aggr2       none         61          0       2048       1240        807        N/A          0          0             N/A\n&green llce322d01                online      aggr1       none         69          0       1400        967        432        N/A          0          0             N/A\n&green llce436                   online      aggr0       none         80          0       1551       1247        303        N/A          0          0             N/A\n&green llce404d01                online      aggr1       none         64          0       2048       1305        742        N/A          0          0             N/A\n&green llce453                   online      aggr0       none         57          0       1419        808        610        N/A          0          0             N/A\n&green llce435d01                online      aggr0       none         74          0       2400       1777        622        N/A          0          0             N/A\n&green plcf322                   online      aggr0       none         75          0       1200        905        294        N/A          0          0             N/A\n&green llce435b                  online      aggr0       none         55          0         26         14         11        N/A          0          0             N/A\n&green llce435                   online      aggr1       none         71          0       1089        773        315        N/A          0          0             N/A\n&green llce404d02                online      aggr0       none         72          0       2100       1515        584        N/A          0          0             N/A\n&green llce435d02                online      aggr1       none         68          0        600        405        194        N/A          0          0             N/A\n&green llce316                   online      aggr0       none         68          0        750        509        240        N/A          0          0             N/A\n&green llce453b                  online      aggr1       none         86          0        523        447         75        N/A          0          0             N/A\n&green llcf102d01                online      aggr1       none         71          0       2100       1499        600        N/A          0          0             N/A\n&green llce404                   online      aggr1       none         52          0        522        272        249        N/A          0          0             N/A\n&green plcf322b                  online      aggr1       none         72          0        700        503        196        N/A          0          0             N/A\n&green llce439                   online      aggr1       none         73          0        700        511        188        N/A          0          0             N/A\n&green llce486                   online      aggr2       none         82          0        108         89         18        N/A          0          0             N/A\n&green mbx01                     online      aggr2       none         88          0       2629       2301        327        N/A          0          0             N/A\n&green hc21                      online      aggr2       none         85          0       2047       1736        310        N/A          0          0             N/A\n&green llce453c                  online      aggr2       none         82          0       1600       1311        288        N/A          0          0             N/A\n&green llce436c                  online      aggr2       none         52          0       1024        530        493        N/A          0          0             N/A\n&green llce252d01                online aggr3_sata       none         81          0       4000       3237        762        N/A          0          0             N/A\n&green llce252d02                online aggr4_sata       none         62          0       4000       2478       1521        N/A          0          0             N/A\n&green llce484d02                online aggr4_sata       none         61          0       4000       2174       1570        N/A          0          0             N/A\n&green llcf112d01                online aggr4_sata       none         61          0       4000       1821       1570        N/A          0          0             N/A\n&green llce484d01                online aggr3_sata       none         60          0       4000       2413       1586        N/A          0          0             N/A
easyap_filer.arsyslan.es|status easyap_filer,arsyslan,es.na_vol_space green Thu May  9 11:33:16 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green vol0                      online      aggr0     volume          2          0        153          3        150        N/A          0          0             N/A\n&green ftp_public                online      aggr0       none          0          0         95          0         95    enabled          0          0       sun-sat@0\n&green backup                    online      aggr0       none         70          0        554        386        168    enabled         17         81       sun-sat@0\n&green Produccion_Data_1         online      aggr0       none         58          0        500        291        208    enabled         24         90       sun-sat@0\n&green Produccion_Data_2         online      aggr0       none         39          0        292        113        179    enabled          9         10       sun-sat@0\n&green Produccion_Data_1_C       online      aggr0       none         74          0        451        334        117    enabled          9         31       sun-sat@0\n&green Produccion_Clientes       online      aggr0       none          0          0        102          0        102    enabled          0          0       sun-sat@0\n&green Produccion_Clientes_C     online      aggr0       none         76          0        418        316        101    enabled         20         77       sun-sat@0\n&green ConservacionDigital       online      aggr0       none          6          0        171          9        161    enabled          4          0       sun-sat@0
easyap_filer01.arsyslan.es|status easyap_filer01,arsyslan,es.na_vol_space green Thu May  9 11:33:24 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green vol0                      online      aggr0     volume          2          0        153          2        151        N/A          0          0             N/A\n&green ftp_public                online      aggr0       none          0          0        190          0        189    enabled          1          0       sun-sat@0
floyd.arsyslan.es|status floyd,arsyslan,es.na_vol_space green Thu May  9 11:31:13 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green vol0                      online      aggr0     volume          4          0        128          5        122        N/A          0          0             N/A\n&green xendesktop01              online      aggr0     volume          7          0        380         26        353        N/A          0          0             N/A\n&green navia                     online aggr1_sata     volume         94          0       1536       1437         98        N/A          0          0             N/A\n&green csp_nfs_fc_003            online      aggr0       none          2          0       2048         43       2004        N/A          0          0             N/A\n&green csp_cifs_fc_002           online      aggr0       none         12          0       2048        236       1811        N/A          0          0             N/A\n&green csp_nfs_fc_004            online      aggr0       none          3          0       2048         69       1978        N/A          0          0             N/A\n&green anayet                    online aggr1_sata       none         50          0       4095       2029       2065   disabled          2         34               -\n&green csp_cifs_fc_003           online      aggr0       none          1          0       2048         17       2030        N/A          0          0             N/A\n&green pand01                    online aggr1_sata       none         39          0       2048        798       1249        N/A          0          0             N/A\n&green esxtop                    online      aggr0     volume         65          0         50         32         17        N/A          0          0             N/A\n&green csp_nfs_sata_005          online aggr1_sata       none         23          0       2048        466       1581        N/A          0          0             N/A\n&green csp_cifs_sata_003         online aggr1_sata       none          0          0       2048          5       2042        N/A          0          0             N/A\n&green csp_nfs_sata_004          online aggr1_sata       none         11          0       1024        109        914        N/A          0          0             N/A\n&green csp_cifs_sata_002         online aggr1_sata       none          0          0       1024          0       1023        N/A          0          0             N/A\n&green nicira                    online      aggr0       none          9          0        350         30        319        N/A          0          0             N/A
hendrix.arsyslan.es|status hendrix,arsyslan,es.na_vol_space green Thu May  9 11:32:08 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green llce486d02                online aggr1_sata       none         54          0       4000       2142       1857        N/A          0          0             N/A\n&green llce324d03                online aggr2_sata       none         58          0       4000       2332       1667        N/A          0          0             N/A\n&green vol0                      online aggr0_sata     volume          4          0        128          5        122        N/A          0          0             N/A\n&green llce458d02                online aggr1_sata       none         69          0       4000       2742       1257        N/A          0          0             N/A\n&green llce324d02                online aggr1_sata       none         47          0       4000       1783       2114        N/A          0          0             N/A\n&green llce455d01                online aggr2_sata       none         62          0       6144       3371       2351        N/A          0          0             N/A\n&green llce486d01                online aggr0_sata       none         57          0       4000       2265       1734        N/A          0          0             N/A\n&green llce458d01                online aggr0_sata       none         61          0       4000       2448       1551        N/A          0          0             N/A\n&green llce324d01                online aggr0_sata       none         21          0       4000          1       3169        N/A          0          0             N/A\n&green llce663d01                online aggr3_sata       none         60          0       4512       2713       1798        N/A          0          0             N/A\n&green llce324d04                online aggr3_sata       none         41          0       1512        615        896        N/A          0          0             N/A\n&green llcg406d01                online aggr3_sata       none         81          0       1200        975        224        N/A          0          0             N/A\n&green llcf111d02                online aggr3_sata       none         37          0       1000        367        632        N/A          0          0             N/A\n&green llce436d01                online aggr3_sata       none         24          0       4096        990       3105        N/A          0          0             N/A\n&green llce436d02                online aggr3_sata       none         12          0       1512        184       1327        N/A          0          0             N/A\n&green llcf112d01                online aggr3_sata       none         41          0       1512        617        894        N/A          0          0             N/A\n&green llcf102d01                online aggr3_sata       none         41          0       1512        615        896        N/A          0          0             N/A\n&green llcf111d01                online aggr3_sata       none         55          0       2536       1405       1130        N/A          0          0             N/A\n&green llce982d01                online aggr3_sata       none         80          0       1000        798        201        N/A          0          0             N/A\n&green slcf596d01                online aggr3_sata       none         84          0       6848       5766       1081        N/A          0          0             N/A\n&green llce315d01                online aggr3_sata       none         50          0       2512       1256       1255        N/A          0          0             N/A\n&green flcf321d01                online aggr3_sata       none         47          0       4096       1943       2152        N/A          0          0             N/A\n&green llce435d01                online aggr3_sata       none         39          0       2024        797       1226        N/A          0          0             N/A\n&green llcf101d01                online aggr3_sata       none         68          0       2500       1696        803        N/A          0          0             N/A\n&green llce322d01                online aggr3_sata       none         31          0       1388        423        964        N/A          0          0             N/A\n&green llce455d02                online aggr3_sata       none         26          0       2047        523       1523        N/A          0          0             N/A\n&green llce486d04                online aggr3_sata       none         22          0       1512        329       1182        N/A          0          0             N/A\n&green llce323d01                online aggr3_sata       none         30          0       1024        308        715        N/A          0          0             N/A\n&green llce484d01                online aggr3_sata       none         18          0       1354        244       1109        N/A          0          0             N/A\n&green llce486d03                online aggr3_sata       none         47          0       1098        513        584        N/A          0          0             N/A\n&green llce274d01                online aggr3_sata       none         30          0       1034        306        727        N/A          0          0             N/A
jam.arsyslan.es|status jam,arsyslan,es.na_vol_space green Thu May  9 11:30:51 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green slcf764                   online      aggr1       none         74          0       1802       1338        463        N/A          0          0             N/A\n&green llce933imap               online      aggr1       none         79          0        120         95         24        N/A          0          0             N/A\n&green lwzf098                   online      aggr1       none         67          0       1024        688        335        N/A          0          0             N/A\n&green llce316d01                online      aggr1       none         57          0       4000       1026       1729        N/A          0          0             N/A\n&green hc15                      online      aggr1       none         85          0       2100       1787        312        N/A          0          0             N/A\n&green llcf113                   online      aggr1       none         84          0       1152        972        179        N/A          0          0             N/A\n&green llce315                   online      aggr1       none         25          0       1000        250        749        N/A          0          0             N/A\n&green llce455                   online      aggr1       none         11          0         76          8         67        N/A          0          0             N/A\n&green llce314                   online      aggr1       none         60          0        704        422        281        N/A          0          0             N/A\n&green llcf111                   online      aggr1       none         66          0        512        339        172        N/A          0          0             N/A\n&green vol0                      online      aggr0     volume          4          0        128          5        122        N/A          0          0             N/A\n&green llce453d01                online      aggr0       none         35          0       4000        535       2591        N/A          0          0             N/A\n&green llce316                   online      aggr0       none         62          0       1717       1061        655        N/A          0          0             N/A\n&green mbx02                     online      aggr0       none         75          0       1000        751        248        N/A          0          0             N/A\n&green llce434                   online      aggr0       none         81          0       1417       1154        262        N/A          0          0             N/A\n&green mbx01                     online      aggr0     volume         86          0       1792       1540        251        N/A          0          0             N/A\n&green llce486d01                online      aggr0       none         61          0        800        485        314        N/A          0          0             N/A\n&green llce314d01                online      aggr0       none         54          0        950        512        437        N/A          0          0             N/A\n&green llcf111b                  online      aggr0       none         72          0        512        368        143        N/A          0          0             N/A\n&green hc16                      online      aggr0       none         85          0       2047       1746        300        N/A          0          0             N/A\n&green llcf111d01                online      aggr0       none         67          0        570        381        188        N/A          0          0             N/A\n&green linuxbox                  online      aggr0       none         82          0        210        171         38        N/A          0          0             N/A\n&green llce435d01                online      aggr0       none         52          0       1098        571        526        N/A          0          0             N/A
james.arsyslan.es|status james,arsyslan,es.na_vol_space green Thu May  9 11:32:58 CEST 2013 - testing \nVolume                       Status       Aggr    Reserve    Util(%)   Inode(%)   Size(GB)   Used(GB)   Free(GB)      DEDUP   Saved(%)  Saved(GB)        Schedule\n&green vol0                      online      aggr0     volume          1          0        314          3        311        N/A          0          0             N/A\n&green csg_nfs_fc_001            online      aggr1       none          0          0       2048          0       2047        N/A          0          0             N/A\n&green csg_cifs_fc_001           online      aggr1       none         15          0       2048        306       1741        N/A          0          0             N/A\n&green esxtop                    online      aggr1     volume          0          0          6          0          6        N/A          0          0             N/A
